model_layer,slab_budget,measured_bytes_per_position,projected_behavioral_cost,measured_kl_at_budget,mean_exact_fallback_routes
51,24,12902400,0.011665467261941074,,0.0
51,48,25804800,0.007071427270219563,,0.0
51,72,38707200,0.0041032070062236,,0.0
51,96,51609600,0.002174224187414489,0.002174224187414489,0.0
51,120,64512000,0.000983983184011151,,0.0
51,144,77414400,0.0003317695535908045,,0.0
51,168,90316800,5.570658963656119e-05,,0.0
51,192,103219200,4.929850303286896e-34,,0.0
52,24,13305600,0.04531061133965248,,0.0625
52,48,26208000,0.025015801784509153,,0.0625
52,72,39110400,0.013664715028572435,,0.0625
52,96,52012800,0.006931044280967489,0.006931044280967488,0.0625
52,120,64915200,0.003038902254258421,,0.0625
52,144,77817600,0.0010085712195818974,,0.0625
52,168,90720000,0.00016995144667832836,,0.0625
52,192,103219200,2.5815237109730783e-33,,0.0625
53,24,15120000,0.02008990316404923,,0.34375
53,48,28022400,0.01112865201854115,,0.34375
53,72,40924800,0.006113332409016313,,0.34375
53,96,53827200,0.0031313802509456016,0.0031313802509456016,0.34375
53,120,66729600,0.0013914083776109232,,0.34375
53,144,79632000,0.00046866925132840314,,0.34375
53,168,92534400,7.966730927364452e-05,,0.34375
53,192,103219200,1.1407451208550997e-33,,0.34375
54,24,13104000,0.051955390192631894,,0.03125
54,48,26006400,0.029883745831804396,,0.03125
54,72,38908800,0.016808788696852605,,0.03125
54,96,51811200,0.008773963117324804,0.008773963117324804,0.03125
54,120,64713600,0.003977477785036556,,0.03125
54,144,77616000,0.001368812670767037,,0.03125
54,168,90518400,0.00023484462867293506,,0.03125
54,192,103219200,2.6176785570112023e-33,,0.03125
55,24,13104000,0.00847548030341722,,0.03125
55,48,26006400,0.004765362748857095,,0.03125
55,72,38908800,0.0026513062645963036,,0.03125
55,96,51811200,0.001370266429944104,0.001370266429944104,0.03125
55,120,64713600,0.0006136536169819961,,0.03125
55,144,77616000,0.00020749639390179754,,0.03125
55,168,90518400,3.461382036804096e-05,,0.03125
55,192,103219200,6.227600660508849e-34,,0.03125
56,24,15654912,0.019631410626563928,,0.0
56,48,31309824,0.010295057739060426,,0.0
56,72,46964736,0.005490453677542535,,0.0
56,96,62619648,0.0027700022249348218,0.0027700022249348218,0.0
56,120,78274560,0.0012312693678548563,,0.0
56,144,93929472,0.00042092048638652993,,0.0
56,168,109584384,7.437415020944166e-05,,0.0
56,192,125239296,1.9734445606669426e-33,,0.0
57,24,16877952,0.008246337911667513,,0.15625
57,48,32532864,0.00444430571358528,,0.15625
57,72,48187776,0.002376042243758254,,0.15625
57,96,63842688,0.0011879065707423348,0.0011879065707423348,0.15625
57,120,79497600,0.0005163125326507448,,0.15625
57,144,95152512,0.00017140015482948947,,0.15625
57,168,110807424,2.8889891149847817e-05,,0.15625
57,192,125239296,5.885485511454639e-34,,0.15625
58,24,16144128,0.010950615531089813,,0.0625
58,48,31799040,0.005721298279061473,,0.0625
58,72,47453952,0.0029941937030410746,,0.0625
58,96,63108864,0.0014677553394258685,0.0014677553394258683,0.0625
58,120,78763776,0.0006210434177154601,,0.0625
58,144,94418688,0.00019493579148278302,,0.0625
58,168,110073600,2.9271882074733464e-05,,0.0625
58,192,125239296,6.382048506002483e-34,,0.0625
59,24,13104000,0.01115831819088895,,0.03125
59,48,26006400,0.0056346468107926,,0.03125
59,72,38908800,0.0028876543301964834,,0.03125
59,96,51811200,0.0013969865942786942,0.0013969865942786942,0.03125
59,120,64713600,0.000589857578802198,,0.03125
59,144,77616000,0.0001878988227686121,,0.03125
59,168,90518400,2.9779782180905695e-05,,0.03125
59,192,103219200,8.568467934905631e-34,,0.03125
60,24,12902400,0.00936389893729918,,0.0
60,48,25804800,0.004997487038759748,,0.0
60,72,38707200,0.002680734434813027,,0.0
60,96,51609600,0.0013697903374255158,0.0013697903374255158,0.0
