model_layer,slab_budget,measured_bytes_per_position,projected_behavioral_cost,measured_kl_at_budget,mean_exact_fallback_routes
37,120,73180800,0.0006841223941114241,,1.34375
37,144,86083200,0.0002155613038353193,,1.34375
37,168,97574400,2.6787812674918235e-05,,1.34375
37,192,103219200,4.408733145000963e-34,,1.34375
38,24,38707200,0.0074004649078983015,,4.0
38,48,51609600,0.0042282125284999715,,4.0
38,72,64512000,0.0022968524908110245,,4.0
38,96,77414400,0.0011309495925540477,0.0011309495925540475,4.0
38,120,89712000,0.0004692735527298437,,4.0
38,144,98784000,0.00013733987574755547,,4.0
38,168,102412800,1.6613656015976786e-05,,4.0
38,192,103219200,4.2105900761294304e-34,,4.0
39,24,18748800,0.00872930508747879,,0.90625
39,48,31651200,0.0050351748151341805,,0.90625
39,72,44553600,0.002776107842769253,,0.90625
39,96,57456000,0.0013899973639016328,0.0013899973639016328,0.90625
39,120,70358400,0.0005841223179072971,,0.90625
39,144,83260800,0.00017544499015230847,,0.90625
39,168,95961600,2.261314428925235e-05,,0.90625
39,192,103219200,5.432692831749455e-34,,0.90625
40,24,26812800,0.018628358180744046,,2.15625
40,48,39715200,0.010392583972051955,,2.15625
40,72,52617600,0.0055759512195835545,,2.15625
40,96,65520000,0.0027452098759859394,0.0027452098759859394,2.15625
40,120,78422400,0.0011360492585501321,,2.15625
40,144,91123200,0.0003354778563609102,,2.15625
40,168,101001600,4.301137187640321e-05,,2.15625
40,192,103219200,8.232948350944947e-34,,2.15625
41,24,24393600,0.011596738060065611,,1.78125
41,48,37296000,0.006468699747078526,,1.78125
41,72,50198400,0.0034409447532440466,,1.78125
41,96,63100800,0.0016569997364334547,0.001656999736433455,1.78125
41,120,76003200,0.0006640519643463362,,1.78125
41,144,88704000,0.00018560145114927172,,1.78125
41,168,98985600,2.1271608999876644e-05,,1.78125
41,192,103219200,5.672800357371223e-34,,1.78125
42,24,29433600,0.029478514418255473,,2.5625
42,48,42336000,0.0158081437008024,,2.5625
42,72,55238400,0.008155632970161262,,2.5625
42,96,68140800,0.003814443001529411,0.0038144430015294114,2.5625
42,120,81043200,0.0014953127210643761,,2.5625
42,144,92534400,0.0004148191817270304,,2.5625
42,168,101203200,4.8994550440301905e-05,,2.5625
42,192,103219200,1.547492643578263e-33,,2.5625
43,24,35481600,0.056014942998643305,,3.5
43,48,48384000,0.029793214577719072,,3.5
43,72,61286400,0.015295445347967134,,3.5
43,96,74188800,0.007155612812691869,0.007155612812691869,3.5
43,120,86284800,0.0028231402393777884,,3.5
43,144,96768000,0.0007950531880686874,,3.5
43,168,102009600,9.460100002981567e-05,,3.5
43,192,103219200,3.360223365097537e-33,,3.5
44,24,27619200,0.01829689254400208,,2.28125
44,48,40521600,0.010201071316451753,,2.28125
44,72,53424000,0.0054974997478050725,,2.28125
44,96,66326400,0.0026852029774958575,0.002685202977495858,2.28125
44,120,79228800,0.0010912144927973872,,2.28125
44,144,91728000,0.0003080912523177535,,2.28125
44,168,101001600,3.546583550249609e-05,,2.28125
44,192,103219200,1.470707248265736e-33,,2.28125
45,24,19555200,0.05207333692322754,,1.03125
45,48,32457600,0.02878888891536316,,1.03125
45,72,45360000,0.015405341331826675,,1.03125
45,96,58262400,0.007482597174815356,0.007482597174815357,1.03125
45,120,71164800,0.0030233988974371472,,1.03125
45,144,84067200,0.0008614586308760521,,1.03125
45,168,96364800,0.00010534825557409076,,1.03125
45,192,103219200,3.2678534730720556e-33,,1.03125
46,24,33755904,0.011800642683842288,,2.3125
46,48,49410816,0.006366252801991046,,2.3125
46,72,65065728,0.0033760323978158802,,2.3125
46,96,80720640,0.0016370519461007065,0.0016370519461007067,2.3125
46,120,96375552,0.0006543788823811384,,2.3125
46,144,111785856,0.00017747292284533978,,2.3125
46,168,122059392,1.7738733808199214e-05,,2.3125
46,192,125239296,8.416866867342335e-34,,2.3125
47,24,37425024,0.02157944934513217,,2.78125
47,48,53079936,0.011667847925135843,,2.78125
47,72,68734848,0.006113411625314487,,2.78125
47,96,84389760,0.0029237475578212787,0.0029237475578212787,2.78125
47,120,99555456,0.0011785252791857099,,2.78125
47,144,113253504,0.00033717990263239467,,2.78125
47,168,123037824,3.913474614351289e-05,,2.78125
47,192,125239296,1.4888915356803235e-33,,2.78125
48,24,23788800,0.025321158047613885,,1.6875
48,48,36691200,0.014495033227178293,,1.6875
48,72,49593600,0.007842651586172176,,1.6875
48,96,62496000,0.0038183629591167847,0.0038183629591167843,1.6875
48,120,75398400,0.001546157374605561,,1.6875
48,144,87494400,0.00043262728092759633,,1.6875
48,168,98179200,5.1822556741584413e-05,,1.6875
48,192,103219200,9.815153011243466e-34,,1.6875
49,24,33667200,0.010802662596948127,,3.21875
49,48,46569600,0.005756363780057875,,3.21875
49,72,59472000,0.002980015170481978,,3.21875
49,96,72172800,0.0013964575565272833,0.0013964575565272833,3.21875
49,120,83865600,0.0005567881072155113,,3.21875
49,144,93945600,0.00016061846763788042,,3.21875
49,168,101606400,2.103847106591184e-05,,3.21875
49,192,103219200,5.286315607069661e-34,,3.21875
50,24,30038400,0.01769009736001326,,2.65625
50,48,42940800,0.010286178975585043,,2.65625
50,72,55843200,0.005617344693882371,,2.65625
50,96,68745600,0.002727153053389262,0.0027271530533892626,2.65625
50,120,81648000,0.00107323217720644,,2.65625
50,144,93139200,0.00028989476497512417,,2.65625
50,168,100800000,3.127844788053765e-05,,2.65625
50,192,103219200,7.202262937631718e-34,,2.65625
51,24,25401600,0.015048954041249904,,1.9375
51,48,38304000,0.008575849841771191,,1.9375
51,72,51206400,0.004593102672435744,,1.9375
51,96,64108800,0.002174224187414489,0.002174224187414489,1.9375
51,120,77011200,0.0008324274233971097,,1.9375
51,144,88905600,0.0002146926570987357,,1.9375
51,168,98784000,2.190795015951144e-05,,1.9375
51,192,103219200,5.5816485383739815e-34,,1.9375
52,24,32860800,0.06209425739282627,,3.09375
52,48,45763200,0.03184478595275851,,3.09375
52,72,58665600,0.01572872379825334,,3.09375
52,96,71568000,0.006931044280967487,0.006931044280967488,3.09375
52,120,83260800,0.0025672771158727387,,3.09375
52,144,93340800,0.000661452043530648,,3.09375
52,168,100598400,6.961728962927164e-05,,3.09375
52,192,103219200,3.1873379181848454e-33,,3.09375
53,24,47376000,0.030064939437730708,,5.34375
53,48,60278400,0.015229252995661295,,5.34375
53,72,72979200,0.007347244720844747,,5.34375
53,96,84067200,0.0031313802509456016,0.0031313802509456016,5.34375
53,120,92534400,0.0010794963511146533,,5.34375
53,144,99388800,0.0002489823476619295,,5.34375
53,168,102211200,2.226758308645626e-05,,5.34375
53,192,103219200,1.9059393062156783e-33,,5.34375
54,24,36892800,0.0718551310277117,,3.71875
54,48,49795200,0.03795805467218582,,3.71875
54,72,62697600,0.019320711064234494,,3.71875
54,96,75196800,0.008773963117324804,0.008773963117324804,3.71875
54,120,87091200,0.003244525583502855,,3.71875
54,144,96566400,0.0007898711047779644,,3.71875
54,168,102412800,6.777003831008173e-05,,3.71875
54,192,103219200,5.1865118958576295e-33,,3.71875
55,24,30038400,0.011486295010633415,,2.65625
55,48,42940800,0.005922349179476932,,2.65625
55,72,55843200,0.003007247429780233,,2.65625
55,96,68745600,0.0013702664299441037,0.001370266429944104,2.65625
55,120,81648000,0.0005098666170036967,,2.65625
55,144,93542400,0.00012765559773487178,,2.65625
55,168,100598400,1.253417188026905e-05,,2.65625
55,192,103219200,6.834038657528381e-34,,2.65625
56,24,52346112,0.029553826749746815,,4.6875
56,48,68001024,0.013948551762393168,,4.6875
56,72,83655936,0.006485981601648942,,4.6875
56,96,98821632,0.0027700022249348218,0.0027700022249348218,4.6875
56,120,111296640,0.0009902158764671422,,4.6875
56,144,120347136,0.00023943146622179003,,4.6875
56,168,124016256,2.4793340175642752e-05,,4.6875
56,192,125239296,3.107097466836084e-33,,4.6875
57,24,36446592,0.011702078529117541,,2.65625
57,48,52101504,0.0058465628603341655,,2.65625
57,72,67756416,0.0028032763190479343,,2.65625
57,96,83411328,0.0011879065707423348,0.0011879065707423348,2.65625
57,120,99066240,0.0004121798685506598,,2.65625
57,144,111785856,9.789790154983938e-05,,2.65625
57,168,121080960,9.384674470568233e-06,,2.65625
57,192,125239296,1.0816342149882237e-33,,2.65625
58,24,47209344,0.014980134879395167,,4.03125
58,48,62864256,0.007297125158063959,,4.03125
58,72,78519168,0.0034655207621652655,,4.03125
58,96,94174080,0.0014677553394258683,0.0014677553394258683,4.03125
58,120,109095168,0.0004905749704097998,,4.03125
58,144,119857920,0.00011066462728515142,,4.03125
58,168,124505472,1.065164127400641e-05,,4.03125
58,192,125239296,8.405095916366693e-34,,4.03125
59,24,42336000,0.016808818531210464,,4.5625
59,48,55036800,0.007606716026865469,,4.5625
59,72,67536000,0.003409338074671105,,4.5625
59,96,79027200,0.001396986594278694,0.0013969865942786942,4.5625
59,120,89510400,0.0004890740184569687,,4.5625
59,144,98380800,0.00012619259837666618,,4.5625
59,168,102009600,1.3330761033071903e-05,,4.5625
59,192,103219200,1.1642532653503172e-33,,4.5625
60,24,32860800,0.011915563064996472,,3.09375
60,48,45763200,0.005933905510826577,,3.09375
